I_D,YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DAMAGED
7874,2008,4.5,INDIA,INDIA:  GUJARAT,23.33,70.592,0,,,
7875,2008,7.2,CHINA,CHINA:  XINJIANG PROVINCE,35.49,81.467,0,,2200,
7876,2008,5.3,PERU,PERU:  OFF COAST,-12.178,-77.164,0,1,5,
7800,2008,7.3,NEW CALEDONIA,NEW CALEDONIA: LOYALTY ISLANDS,-20.071,168.892,0,,,
8127,2008,6.1,GUATEMALA,GUATEMALA,13.564,-90.599,0,,,8
7823,2008,5.3,USA,ILLINOIS:  WEST SALEM,38.452,-87.886,0,,,
8128,2008,5,USA,NEVADA:  FALLON,39.52,-119.93,0,,,
8138,2008,6.4,VANUATU,VANUATU ISLANDS,-19.941,168.953,0,,,
8129,2008,4.5,IRAN,"IRAN:  LORESTAN, BOROUJERD",33.86,48.59,0,100,,
8130,2008,6.8,JAPAN,JAPAN:  HONSHU:  E COAST,36.158,141.521,0,6,,
7843,2008,7.9,CHINA,CHINA:  SICHUAN PROVINCE,31.002,103.322,87652,374171,5360000,21000000
8122,2008,,BRAZIL,BRAZIL:  ALCANTARAS,-3.91,-40.44,0,,,
