COUNTRY,LATITUDE,LONGITUDE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DAMAGED
MOZAMBIQUE,-20.644,32.801,,10,600,
ITALY,37.555,15.166,,28,15,
CHINA,28.261,104.984,,774,,691
IRAN,34.121,45.681,,75,,
POLAND,51.52,16.09,1,6,,
CHILE,-30.074,-71.423,2,,,260
POLAND,50.08,18.39,1,8,,
MEXICO,14.763,-92.298,,4,,
INDIA,19.6,72.8,1,,,
AZERBAIJAN,40.892,48.602,,3,,3000
ECUADOR,-2.199,-77.023,1,9,5,75
CHINA,29.498,104.632,2,12,9,10911
INDONESIA,-1.301,101.601,,48,,343
PERU,-14.684,-70.127,1,1,,
INDONESIA,-8.418,116.52,6,,843,3613
TANZANIA,-7.878,32.085,1,,4,
INDONESIA,-1.852,122.553,1,,,
TAIWAN,23.989,121.693,1,16,,
PHILIPPINES,14.924,120.497,18,183,1046,3329
PAPUA NEW GUINEA,-6.977,146.44,,,130,
PAPUA NEW GUINEA,-4.081,152.569,,,,
CHINA,45.205,124.611,,,,167
NETHERLANDS,53.394,6.586,,,,840
PERU,-5.796,-75.298,2,30,,
ALBANIA,40.501,20.722,,4,,100
CHILE,-30.056,-72.082,,,,
NEW ZEALAND,-30.805,-178.095,,,,
CHINA,28.405,104.957,13,200,,12700
JAPAN,38.646,139.472,,28,,144
POLAND,50.287,18.997,3,6,,
USA,35.705,-117.506,1,,,
USA,35.766,-117.605,,,,50
IRAN,31.775,49.542,1,128,,
PHILIPPINES,9.334,126.04,,25,,
INDONESIA,-0.529,128.093,5,,1000,
GREECE,38.115,23.505,,4,,
