COUNTRY,LATITUDE,LONGITUDE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DAMAGED
CHINA,30.268,105.668,1,15,200,
CHINA,25.523,101.903,,11,,
JAPAN,25.93,128.425,,2,,
CHILE,-36.122,-72.898,558,12000,,500000
ARGENTINA,-24.872,-65.602,2,2,,
TAIWAN,22.918,120.795,,96,,340
TURKEY,38.864,39.986,51,100,287,700
CHILE,-34.29,-71.891,,,,
INDIA,13.667,92.831,,10,,
MEXICO,32.297,-115.278,2,233,,
INDONESIA,2.383,97.048,,,,
CHINA,33.165,96.548,2220,12135,15000,
AFGHANISTAN,35.633,67.658,11,70,2000,
AUSTRALIA,-30.794,121.406,,3,,
INDIA,30.099,80.026,,,,
PERU,-18.058,-70.547,,11,,
INDONESIA,3.748,96.018,,,,
ALGERIA,35.9,4.12,2,43,,
USA TERRITORY,18.4,-67.07,,,,
USA TERRITORY,16.591,145.682,,,,
INDIA,7.881,91.936,,,,
USA,32.7,-115.921,,,,
INDONESIA,-2.174,136.543,17,,2556,
INDIA,13.197,93.087,,,,
INDIA,29.872,80.428,,,,
CANADA,45.88,-75.48,,,,
MEXICO,16.396,-97.782,1,,,
IRAN,27.022,53.861,1,32,,
PHILIPPINES,6.486,123.467,,,,
IRAN,35.217,59.308,,274,,
VANUATU,-17.541,168.069,,,,
ECUADOR,-1.266,-77.306,,,,
USA TERRITORY,12.484,141.476,,,,
IRAN,35.49,54.47,3,200,700,
CHINA,27.197,103.005,,14,,1001
NEW ZEALAND,-43.522,171.83,,2,,
NEW ZEALAND,-43.57,172.388,,,,
NEW ZEALAND,-40.433,176.818,,,,
NEW ZEALAND,-43.598,172.69,,,,
BANGLADESH,23.407,90.648,,,,
IRAN,29.647,51.665,1,3,,
PAKISTAN,33.869,72.887,1,15,,100
INDONESIA,-3.487,100.082,431,,700,
SERBIA,43.76,20.673,2,100,1000,5000
IRAN,33.37,48.94,,104,,
PAKISTAN,30.178,67.117,,12,,
ETHIOPIA,7.521,37.839,,,,
USA,35.827,-96.772,,,,
IRAN,28.412,59.18,7,25,,1800
JAPAN,26.901,143.698,,,,
VANUATU,-19.702,167.947,,4,,
NEW ZEALAND,-43.55,172.647,,,,20
IRAN,30.16,51.62,,16,,
VANUATU,-19.157,168.311,,,,
PAKISTAN,28.777,63.951,3,,,200
CHINA,24.693,97.943,,1,,700
MYANMAR (BURMA),24.618,94.68,1,,,
CHILE,-36.474,-73.125,,,,
USA,38.947,-107.497,,,,
NEW ZEALAND,-43.583,172.68,181,1500,100000,
PHILIPPINES,9.457,125.935,,,,
JAPAN,38.435,142.842,,,,
CHINA,24.719,97.969,25,250,1039,12528
JAPAN,38.297,142.372,18434,6157,123661,280920
JAPAN,36.281,141.111,,,,
JAPAN,38.058,144.59,,,,
MYANMAR (BURMA),20.687,99.822,75,123,,10104
NEPAL,29.698,80.754,,,,
JAPAN,38.276,141.588,3,132,,
CHINA,31.373,100.757,,,,
JAPAN,37.001,140.401,7,,3,
INDONESIA,-4.586,122.771,,14,,
SPAIN,37.699,-1.672,10,,,
TURKEY,39.12,29.04,2,125,,
CHINA,43.015,88.247,,8,,50
NEW ZEALAND,-43.564,172.743,1,45,100,
CHINA,25.075,98.721,,4,,
USA,52.05,-171.836,,,,
CHINA,32.447,95.948,,,10,
KERMADEC ISLANDS (NEW ZEALAND),-29.539,-176.34,,,,
JAPAN,38.034,143.264,,,,
UZBEKISTAN,40.081,71.41,14,86,,
CHINA,24.932,98.73,,3,,22823
CHINA,39.955,77.028,,21,,
VANUATU,-18.365,168.143,,,,
VANUATU,-18.311,168.218,,,,
USA,37.063,-104.701,,,,
USA,37.936,-77.933,,,,
USA,52.171,-171.708,,,,
INDONESIA,2.965,97.893,10,,,
INDIA,28.724,77.189,,1,,
INDIA,27.73,88.155,111,177,,6000
GUATEMALA,14.186,-90.238,1,,,
INDIA,21.211,70.533,,34,,3000
KERMADEC ISLANDS (NEW ZEALAND),-28.993,-176.238,,,,
TURKEY,38.722,43.513,604,2608,5739,4882
PERU,-14.438,-75.966,1,103,134,
INDIA,27.449,88.684,2,,,
ECUADOR,-0.13,-78.37,,,,
CHINA,43.648,82.437,,,2453,
USA,35.532,-96.765,,2,14,
PHILIPPINES,7.904,125.185,,31,,23
USA,35.531,-96.788,,,,
TURKEY,38.429,43.229,40,,,
